AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
7935800,1300725,12062310,4903950,72484765,10403005,7020885,1896105,39408285,17728505,2864470,2823790,22108865,10449480,5460425,4891575,7215525,6763450,2741820,12547640,13753030,17101050,10313950,4510385,9496225,1684155,3252610,4844250,2758180,17509825,3719165,36837385,18070080,1175490,18773745,6099090,8146665,24407395,2104235,8546355,1542185,10482210,50202395,5141750,1349210,16057155,14453195,3412435,9563275,832715
7929510,1298855,12016120,4888870,72187615,10379085,7009885,1889005,39242385,17676805,2862880,2816590,22003925,10405770,5453935,4876755,7188945,6748110,2725850,12514340,13707690,17001930,10281050,4499295,9478515,1676425,3242260,4833180,2746790,17484285,3707185,36670875,18043640,1174070,18680895,6095730,8132695,24301445,2103635,8538515,1536445,10430010,50045545,5129730,1341540,16016985,14413975,3406685,9550215,827475
7894870,1290115,11948160,4856200,71534555,10314095,6935615,1885035,39008865,17610935,2850820,2792720,21898255,10267000,5381675,4853495,7145935,6721780,2713490,12366150,13563390,16853470,10094190,4483215,9414505,1668645,3214650,4809690,2717910,17334295,3688745,36401405,17959160,1164530,18559105,6083560,8079265,24153595,2084695,8467965,1527585,10376700,49717965,5085980,1322810,15841765,14265985,3400135,9458955,824405
7866010,1289415,11875480,4842600,71475695,10297835,6921565,1880895,38919675,17556895,2845210,2782680,21789595,10246880,5371035,4845935,7118965,6695020,2700850,12344110,13522470,16759460,10039850,4474265,9396215,1665325,3195650,4800170,2700850,17272705,3654855,36218565,17893360,1164030,18498615,6048270,8072925,24070415,2075095,8424735,1523115,10344940,49437205,5062460,1321910,15822135,14221055,3396865,9379555,820505
7868950,1289555,11884300,4853660,71498885,10299095,6925945,1882015,38941975,17559415,2846330,2783520,21800095,10250710,5371735,4847395,7122045,6704260,2700850,12348050,13537870,16761140,10042420,4479865,9399435,1665325,3196850,4802530,2700990,17275555,3657235,36238675,17903560,1164170,18499735,6052050,8077405,24092535,2075515,8433135,1523675,10355880,49488445,5065540,1323590,15834735,14232785,3414545,9388095,821905
7895690,1290675,11899120,4879700,71539745,10310215,6930805,1883695,39037335,17594455,2847390,2787440,21820445,10263030,5378035,4856915,7136885,6740800,2702110,12356170,13552150,16768180,10049700,4494225,9425475,1667705,3200970,4812310,2703090,17289135,3660875,36272085,17930700,1164450,18507155,6075340,8082865,24110735,2076215,8440975,1524655,10372540,49524075,5068320,1324010,15846355,14237445,3418845,9395795,822045
7902810,1291135,11903880,4877020,71475395,10313535,6919185,1885655,39027525,17619375,2850620,2785190,21816755,10259750,5337155,4859615,7136765,6748560,2696630,12328530,13541520,16752280,10044680,4491905,9421665,1667325,3202830,4818610,2695150,17283115,3657855,36224955,17931260,1158890,18495595,6074390,8093835,24118245,2076275,8439725,1522975,10375960,49546645,5069420,1320250,15820055,14239885,3417495,9396555,822325
7880350,1281415,11857580,4871540,71231045,10264195,6884475,1876175,38857805,17530925,2830120,2770290,21632335,10220060,5315295,4840995,7112385,6732870,2682360,12291670,13475520,16647430,9995440,4474705,9391535,1662025,3169720,4798790,2667170,17199085,3651795,36004965,17877500,1153520,18384655,6059580,8046365,23974275,2072145,8411045,1506205,10320500,49398665,5045810,1320810,15756175,14156605,3406605,9354055,817415
7870000,1275585,11802250,4868170,70974175,10201995,6838345,1865905,38730695,17452925,2820800,2757390,21543985,10149330,5299485,4824545,7074145,6704100,2676680,12245420,13418760,16563560,9930610,4463545,9338355,1654065,3148640,4775560,2648960,17079155,3633205,35787295,17848100,1151420,18327435,6036020,8013745,23839575,2054295,8370005,1496165,10289030,49203795,5021470,1309140,15686355,14040315,3394645,9332965,815645
7834540,1272385,11729770,4857070,70629795,10151485,6803905,1859875,38559025,17344405,2816070,2752700,21492285,10114580,5293655,4796995,7050425,6666280,2665000,12166700,13368740,16473840,9858500,4457415,9291315,1645705,3135320,4774470,2640760,17008125,3618895,35666865,17711400,1147730,18234375,6019250,7983905,23777055,2041815,8315745,1489515,10250410,49037875,4982170,1301670,15628535,13976625,3379485,9291735,813665
7802940,1269085,11680640,4839070,70222965,10087265,6789385,1847815,38410545,17296905,2808570,2741310,21451285,10075260,5284305,4770175,7026525,6651150,2642860,12106590,13320110,16365490,9786020,4436955,9252205,1631855,3128720,4757360,2626110,16918645,3599385,35466565,17641080,1141360,18175315,5991910,7953005,23598985,2020495,8300135,1484805,10212170,48860105,4969270,1295970,15561375,13915795,3371505,9222535,812765
7847520,1269725,11718130,4877430,70403965,10105605,6806625,1856355,38538075,17343825,2809500,2743520,21492595,10101390,5286315,4782995,7046495,6711910,2644450,12124970,13342090,16400130,9797640,4470015,9295655,1633535,3136560,4770660,2634600,16956675,3607085,35551375,17691300,1141360,18198005,6008460,7955455,23661345,2024085,8329255,1483165,10256940,49043325,4974700,1298770,15593805,13937215,3381025,9243335,814305
7847520,1269725,11718130,4877430,70403965,10105605,6806625,1856355,38538075,17343825,2809500,2743520,21492595,10101390,5286315,4782995,7046495,6711910,2644450,12124970,13342090,16400130,9797640,4470015,9295655,1633535,3136560,4770660,2634600,16956675,3607085,35551375,17691300,1141360,18198005,6008460,7955455,23661345,2024085,8329255,1483165,10256940,49043325,4974700,1298770,15593805,13937215,3381025,9243335,814305
7847520,1269725,11718130,4877430,70403965,10105605,6806625,1856355,38538075,17343825,2809500,2743520,21492595,10101390,5286315,4782995,7046495,6711910,2644450,12124970,13342090,16400130,9797640,4470015,9295655,1633535,3136560,4770660,2634600,16956675,3607085,35551375,17691300,1141360,18198005,6008460,7955455,23661345,2024085,8329255,1483165,10256940,49043325,4974700,1298770,15593805,13937215,3381025,9243335,814305
7847520,1269725,11718130,4877430,70403965,10105605,6806625,1856355,38538075,17343825,2809500,2743520,21492595,10101390,5286315,4782995,7046495,6711910,2644450,12124970,13342090,16400130,9797640,4470015,9295655,1633535,3136560,4770660,2634600,16956675,3607085,35551375,17691300,1141360,18198005,6008460,7955455,23661345,2024085,8329255,1483165,10256940,49043325,4974700,1298770,15593805,13937215,3381025,9243335,814305
7847520,1269725,11718130,4877430,70403965,10105605,6806625,1856355,38538075,17343825,2809500,2743520,21492595,10101390,5286315,4782995,7046495,6711910,2644450,12124970,13342090,16400130,9797640,4470015,9295655,1633535,3136560,4770660,2634600,16956675,3607085,35551375,17691300,1141360,18198005,6008460,7955455,23661345,2024085,8329255,1483165,10256940,49043325,4974700,1298770,15593805,13937215,3381025,9243335,814305
7827970,1265915,11682210,4850310,70017905,9989675,6781355,1849875,38332495,17238705,2789610,2732430,21325865,10055970,5202495,4739995,7019905,6707230,2626450,12045920,13281130,16343680,9704890,4455535,9270945,1625575,3115630,4744700,2619490,16854585,3590125,35392575,17618970,1122690,18129145,5994670,7921355,23507595,2015155,8316315,1481855,10225030,48702115,4934870,1291090,15504115,13841085,3374515,9213885,809935
7818860,1261275,11655260,4841270,69694765,9945385,6721725,1848075,38257155,17213975,2780590,2710250,21226345,10007970,5197475,4720345,6963935,6699390,2596280,11964250,13213440,16287540,9542710,4444235,9220055,1624775,3108990,4739800,2614020,16756085,3573155,35113505,17596250,1121890,18093015,5987760,7875165,23433855,1999985,8286265,1474145,10201600,48607225,4926360,1276670,15408435,13803875,3371815,9183345,808665
7822360,1261275,11660880,4844570,69720235,9947385,6725585,1848595,38267855,17219015,2781150,2710970,21233465,10011510,5198515,4722865,6965855,6703530,2596380,11965590,13213960,16292820,9544130,4446715,9226515,1624975,3110470,4740740,2614360,16762345,3573635,35126945,17601850,1121890,18099395,5993220,7876865,23441955,2001385,8290505,1474385,10203290,48629425,4928180,1276670,15413275,13807795,3373475,9188185,809065
7825960,1261415,11665820,4846390,69749215,9948285,6723485,1848455,38273365,17221615,2785170,2711070,21237825,10015590,5199815,4725785,6966985,6711290,2595440,11963710,13212100,16295130,9546390,4448115,9229455,1625215,3110970,4741670,2614680,16757685,3574595,35131385,17606790,1121890,18101055,5995620,7877505,23441785,2001525,8293885,1474485,10205640,48640455,4927500,1275470,15418715,13809255,3373975,9193145,809305
7781660,1254495,11593260,4798310,69059415,9886505,6683695,1840285,38105285,17086115,2778750,2704880,21116575,9945030,5159205,4696815,6938825,6689040,2582580,11894120,13122760,16202120,9489410,4428425,9184075,1618635,3084610,4707920,2597740,16655165,3551365,34952435,17446020,1120610,17996345,5956410,7856685,23326455,1994685,8222665,1465745,10153730,48390995,4898240,1263790,15331485,13745375,3369625,9160855,802835
