AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
28929,2223,43988,14873,305346,17252,12924,4344,74172,47684,897,8533,47465,35688,11338,15120,19402,18379,3325,16095,31876,25662,16087,14682,24607,3853,7888,15864,5079,34403,8885,48265,43808,2017,60052,24145,8350,61842,5360,22110,3435,54213,133398,17084,706,26893,16528,9086,22282,2170
22251,1724,39216,15229,271394,13697,12958,4508,75332,46452,687,5880,37315,28482,7952,12451,14773,17300,2975,15827,31930,20150,10649,12730,20927,2724,5938,12633,4730,31954,7944,50310,39700,1788,45926,17877,6289,50428,6137,21245,2682,39811,114742,14372,604,25210,13170,8289,15782,1473
27365,2026,62191,19429,280190,16083,15791,5635,83762,59099,1131,6245,43907,34209,10713,14134,32221,22283,3424,19215,36135,22905,14468,15180,25589,2835,7354,14798,5596,36762,8798,66198,56256,1334,52069,24630,7963,51939,6714,29760,2957,46286,150087,21015,782,32965,17350,10456,19773,1807
26811,1973,67049,19328,311715,16469,21122,5247,102769,68454,1362,6255,46742,34890,10384,14986,25778,22328,4333,21963,44394,21780,12783,15664,24242,3593,6664,16592,5287,42572,9135,71135,55744,1305,56822,29897,8886,58068,6517,32143,2497,38527,153453,19967,1162,35266,19270,9569,22021,2296
18659,1377,48815,14198,247717,11987,13558,4538,97100,54424,889,5223,35330,24194,7627,11344,21298,18744,3680,17486,32593,16591,9163,12928,17476,2604,5590,11158,5312,38511,6716,59198,45861,1084,42794,19091,6034,41256,5091,34465,1864,27870,136650,13453,1142,43025,13123,7427,15101,1635
19432,1181,48017,12587,158085,10395,13205,3958,77951,48885,817,3624,30826,18863,7326,9281,18395,17829,2816,14206,28463,14358,7822,11845,15000,2282,4229,8730,4126,35397,5212,50816,39078,932,35851,18877,4920,35414,4568,27388,1572,21014,112996,12287,962,32937,11156,6094,12482,1254
15974,946,28818,11525,116793,9245,9665,2729,69913,36752,613,2951,22045,14157,6194,6468,15664,13826,2080,10924,21614,11608,6515,8650,11815,2268,3935,6834,3158,29270,4605,38343,38806,756,28443,15273,4542,35126,3283,23563,1027,17722,101609,9322,869,24762,11123,4707,10154,950
10954,989,21883,9359,85768,8790,8492,2756,62801,28551,483,2390,18764,11972,4753,5936,12832,8483,1530,9183,17829,9135,6162,6432,9021,1787,2712,5088,2526,26867,3138,31407,26240,335,21904,13530,3870,26878,2782,22346,940,16120,81329,7364,927,23949,8168,3474,7500,738
7162,807,11793,4378,55859,7040,4871,2026,49747,22342,327,1801,13718,8148,3846,3828,7679,6300,1031,6314,12990,7802,5508,5644,5840,1303,2059,3597,2718,22500,2542,26475,20604,663,16459,8214,2782,21715,2237,19229,1105,10176,50686,5887,830,18023,5736,2448,5937,624
6988,885,10913,3238,41568,7664,5338,1891,42123,20805,346,1938,12630,6592,3758,4088,8078,5907,1023,5510,11949,8496,5487,2494,6109,1340,2342,2667,2293,20212,2447,22609,17403,626,14917,5233,2801,18033,2213,16675,1124,9501,34898,5364,757,13475,5847,1993,5066,702
6979,876,7848,7403,31409,7290,5703,1892,41288,20441,317,1996,12175,5466,3497,2248,5757,4864,1113,5469,10861,9494,5600,3784,4189,1109,2058,2625,1732,24090,2118,24388,13574,544,12598,4783,2230,18149,2388,10952,1023,8476,47658,4109,697,11041,5503,1973,4828,469
4256,910,8652,2284,30321,6816,5382,1400,36240,13865,406,1957,11191,5654,3219,2074,4758,3711,1217,5607,10518,11811,6611,2769,4220,893,2106,2463,1475,23341,1589,23040,11185,546,10883,4575,2003,17535,2199,8477,1122,8819,30146,3611,893,9119,4658,1795,4064,436
8065,914,5391,2067,20425,6403,6230,1399,31882,10107,455,2216,11057,5269,2889,1542,4052,3478,1384,6067,11113,17706,6949,3157,4382,1232,1911,2971,1902,25910,1422,22893,11286,666,10193,3348,1997,18663,2132,7627,1007,8499,24802,3475,816,9384,5311,2167,3910,410
3204,944,3969,1431,19942,7929,7144,1507,31192,10915,646,2084,13938,5607,3323,1425,3899,3248,1358,6967,13439,26273,8592,2023,4492,1187,1864,1609,2154,29209,1364,24598,11483,714,10989,2694,2095,23356,2471,7832,1393,8907,25910,2955,859,10234,5364,2490,4242,458
2684,1186,3979,1172,18777,8707,9122,2123,34272,10168,827,1993,16883,6452,3811,1407,3670,2643,1598,8744,15764,39799,10981,1521,4102,883,2461,2035,2655,30880,1377,27874,11985,1096,12895,2298,2629,29013,2884,7699,1404,8006,26089,2903,1102,10268,7057,2920,4737,442
2095,1208,4424,1074,19249,10504,8806,2102,37579,8645,703,1993,20872,6960,3798,1388,3362,2771,2208,9182,14993,49141,13112,1465,4017,980,2374,2167,2759,29163,1340,26539,10878,1075,13299,2168,3116,30049,2617,7000,1220,7552,22138,2801,1288,10164,7443,2613,5600,442
3311,1113,5034,1163,22245,11029,7754,2430,40569,10181,662,1817,23476,8519,3187,1539,4185,3049,2958,9825,14370,55092,14434,1464,4464,1106,2263,3221,3048,25505,1391,25464,13725,1046,15081,2319,4078,34001,2828,6302,1403,8164,24277,2753,1054,11075,8616,2816,6458,433
3546,1146,4539,1378,16765,11739,6953,2330,44109,9415,637,1410,20617,8639,3329,1487,3680,3702,2914,8439,11815,44863,13330,1645,4431,904,2400,2600,2412,21219,1403,21167,13011,1005,12452,1734,4928,30784,2206,6436,1138,10150,23885,2679,821,9428,10216,2599,5571,398
2780,1042,4968,1234,13730,11892,5670,1731,38931,9442,604,1509,18903,6952,2579,1604,3585,2955,2077,6703,9485,32960,11551,1639,4387,951,1643,2725,2010,8420,1430,15086,12345,934,10588,1676,5782,24820,1712,5271,880,7527,22339,2659,561,7420,9112,2534,5029,465
2374,731,5236,1488,13050,10170,3920,1449,37230,8541,739,1167,17941,7796,2420,1546,3694,3451,2231,5196,7365,23493,10498,1347,4778,958,1341,2613,1476,11197,1568,12406,10668,927,9749,1626,5501,21629,1336,5199,671,5914,22080,2455,540,6278,9943,2662,4969,446
2289,565,4603,1299,12391,8872,2163,1000,29800,6388,622,1152,13351,6451,1993,1249,3058,3203,1869,3582,5579,18476,7874,1444,3183,853,1036,2626,1212,4664,1446,9389,8357,679,8448,1278,4597,15290,968,3761,446,5113,18287,2264,377,4458,8178,2251,3934,494
9142,453,3951,1339,9853,6011,1238,772,23603,5174,601,1125,10591,5472,1344,1213,2613,3051,1490,2494,4105,12023,5728,1744,2936,632,548,2002,885,3181,1262,7294,6561,603,6354,931,3773,11108,691,3871,308,4038,15251,2179,369,3024,6914,1942,3187,510
