AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
6143,856,14058,4158,44827,2533,1518,1563,20793,14898,95,3336,16600,5842,1752,2344,3711,4731,763,3016,9039,3640,3019,3082,5827,1293,1261,4034,1411,3920,2508,7296,5236,776,23402,8270,1598,7996,1636,5131,469,13475,14716,6369,125,8034,3198,2326,5883,337
8697,573,14975,5611,75819,5158,1640,716,8555,9179,149,1067,13009,5897,1465,3272,2102,5893,364,6269,10590,3216,1083,4387,6530,868,1968,1544,982,4306,2851,14438,7911,213,8877,3532,2005,14688,2247,5134,364,12500,37662,3857,200,6256,3382,1892,1699,195
2995,589,12084,4907,104306,2811,3523,1841,14126,7275,211,927,16637,11714,3107,5109,10991,3476,1259,5031,12367,8448,2827,2019,4309,647,2540,5301,571,9309,1982,11031,7649,269,19936,4851,2036,16148,1404,11652,1149,8125,37398,3998,145,3661,4908,2622,2283,332
9987,339,9619,4771,123344,2843,6371,1724,17603,21800,286,1812,13558,9097,1320,5254,5059,3482,486,6090,13463,2286,3242,2631,7116,547,2048,3584,2014,6014,1848,9535,21038,474,10079,8909,3067,15479,1687,5546,319,14223,56797,5789,234,7221,6124,3532,8062,767
5460,172,7248,5247,69839,1232,1769,1357,9857,8068,235,1606,10443,4047,2392,1942,4209,6072,1085,6203,9689,4488,1174,2719,3138,451,2191,2432,1953,11143,2273,14846,12523,269,6786,6047,1112,4427,1495,5278,712,10763,51170,2839,119,16285,2998,2897,5876,582
3660,255,17062,2455,23847,2776,5029,1222,21126,6314,232,1439,4378,4819,2661,2991,5686,5540,585,2672,9757,4925,2817,4430,3801,572,1436,2575,1281,11990,1913,10234,8311,119,9805,2091,1179,9307,849,7593,172,2337,39185,2556,133,8454,3693,1004,3581,158
1845,245,7556,3356,37120,3631,2464,537,23669,6661,142,365,2372,5504,2173,1997,3488,2101,306,1912,5723,3649,1942,1591,4566,729,1048,1938,713,5102,952,12552,4048,102,3237,1714,1620,10928,795,3048,254,4289,15441,2146,191,7051,3232,535,2157,273
2749,353,6513,1393,10393,2573,917,760,23994,7784,105,700,4456,3157,1818,1281,4983,3152,243,1109,2322,963,791,1961,1095,350,959,544,870,4958,425,9705,7575,122,7021,4614,714,4119,905,7643,373,3607,17210,2452,187,9082,2920,794,2439,241
938,299,2967,1523,10949,2595,1056,209,18487,2846,64,693,5284,2217,1114,898,1443,1251,311,2057,4384,2628,702,1402,685,345,479,1318,558,3040,363,8696,5882,86,2061,2549,339,7526,698,2392,139,4030,10760,1243,285,6924,2270,798,1264,78
2328,237,2480,1204,5543,1899,552,455,4924,2822,47,571,4090,1813,1461,869,1500,2130,171,2143,1238,3322,620,916,1578,533,286,710,896,5193,707,6980,4113,180,4107,1938,318,3323,852,6121,266,2718,6394,839,181,2776,1608,246,1987,278
2160,228,1514,2548,9593,1085,2129,656,15893,6494,90,450,4624,1967,397,243,1226,1669,441,794,3022,2034,2189,1334,1472,267,462,478,202,8658,728,9753,5416,145,4166,1834,791,3162,562,1520,395,2389,8035,1239,199,2290,738,595,1236,156
1090,324,2298,613,11006,1507,755,152,11834,3967,126,321,1577,590,660,574,1036,858,452,1147,2674,3958,1448,794,1514,344,304,931,365,4142,378,9078,2771,108,3156,787,246,2431,304,1234,159,2577,4659,736,330,2209,1399,272,641,49
1215,168,825,262,2782,1525,1009,293,8003,3104,51,753,3189,656,1046,580,479,637,473,1969,1726,2883,1467,775,1251,260,456,963,211,4553,447,8437,2861,173,1347,784,519,3224,385,1626,107,1671,4054,689,111,3445,1477,658,1317,102
404,247,1096,463,4577,1096,1323,315,9163,2961,134,825,3927,960,434,208,678,481,212,1293,2043,9696,1066,521,1002,469,249,353,842,10505,471,4363,1737,215,4163,719,569,4297,818,1223,275,2028,6537,510,115,2898,1001,683,621,112
697,137,800,164,2235,3457,1794,728,6045,3096,271,555,4077,1442,780,533,1282,1029,219,2792,6014,6144,1317,490,1117,311,349,689,426,4604,206,9599,3590,282,2678,835,572,10009,668,1641,335,1524,8460,728,187,3798,1518,768,1762,127
283,461,1275,215,2729,3553,2519,547,13835,2910,102,386,3643,2249,418,376,1105,1006,447,3180,1997,17393,1813,321,1363,142,401,686,872,8526,413,6975,1910,219,2054,808,857,6618,624,2689,178,2083,5574,794,136,3676,2826,704,1730,167
1034,162,1374,328,5055,3540,2949,918,9544,1364,262,639,3226,3205,1150,393,1161,670,344,1970,4898,5586,2888,321,1166,416,461,657,979,6011,233,6003,1952,160,3763,523,1527,7097,775,1826,146,2442,3724,1069,152,2485,1082,1124,1619,121
426,372,740,509,2708,1845,772,563,11885,1127,212,333,5305,2006,733,398,539,572,1045,3239,2505,8130,3908,366,477,133,756,774,261,3535,238,6383,1378,132,4233,266,1458,5278,286,1113,360,3621,8337,587,247,1523,1920,959,579,50
451,112,767,339,3109,4374,1957,351,6923,2020,167,272,5430,1549,685,370,675,1136,684,952,3420,8116,4255,557,998,102,297,715,583,1493,203,5287,4880,241,1604,305,610,9290,232,1439,160,2004,6600,928,91,766,1285,938,1821,130
665,219,799,557,2944,2186,1002,165,5580,2745,92,328,3115,1690,452,320,1166,653,602,1262,2203,8952,3357,222,522,171,373,302,367,3125,314,4110,1408,114,3105,404,1686,4984,232,1797,228,1824,4011,680,112,800,3731,375,1913,104
356,148,1666,415,4237,2641,666,355,5212,1577,103,457,5116,721,621,472,471,866,700,395,1725,3496,2971,565,1220,207,372,928,237,1626,161,2618,1412,92,1040,395,928,4854,116,732,117,1724,3577,652,138,1269,1389,242,1420,53
3313,117,1508,455,3935,1234,409,170,5758,1491,218,445,3500,1233,304,390,448,406,308,464,775,2045,645,184,1164,144,118,608,146,1225,424,925,1478,219,2436,224,1072,1667,275,656,118,1191,4306,553,62,463,1149,303,1064,105
227,116,1369,487,3457,812,260,189,5768,581,129,172,1346,1153,270,308,267,1012,160,294,1003,2939,1342,401,939,141,58,341,104,499,343,1272,695,69,1843,126,1065,2191,113,656,84,610,3713,448,41,971,2532,484,894,161
550,81,1196,302,2988,1081,103,128,5762,337,130,103,935,898,87,293,510,608,57,221,353,1351,503,141,833,143,111,189,105,471,254,608,1045,100,432,300,677,620,38,484,18,562,2470,403,11,613,2031,453,442,68
734,20,301,247,1641,1038,178,68,2077,1077,85,191,476,1125,177,154,185,736,137,145,460,383,349,317,789,172,50,348,81,383,222,379,509,28,837,171,697,937,80,165,31,540,3494,687,24,394,592,86,400,135
500,38,402,239,1862,562,48,53,1435,697,71,212,398,560,59,98,273,520,76,114,191,623,331,93,1032,57,37,635,29,459,184,460,733,20,432,269,223,526,16,96,16,216,2645,598,17,159,542,75,198,134
119,90,353,501,2056,825,88,52,2149,792,38,221,415,670,108,230,279,683,21,49,81,156,278,129,2000,77,33,730,51,373,176,336,451,47,707,374,261,504,15,68,17,282,4133,691,11,211,676,82,245,46
