AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
523,371,0,9,7393,16930,29,0,4438,1642,27326,2010,6223,0,12772,4467,443,5035,602,21,196,4621,8280,70,0,8171,20105,3087,215,7071,327,3372,0,1910,28765,1152,11155,10286,1008,9918,20118,16225,4340,23039,1713,6555,673,17817,34,0
837,509,0,19,7226,16697,62,0,4866,2241,28522,2566,7352,2,14001,5109,648,5760,1036,47,335,5658,8368,129,0,9719,25815,3618,306,10034,496,4281,0,3150,30102,1090,13336,13113,1662,11606,22338,16518,5537,26732,2200,8523,874,22014,143,0
1299,684,0,39,6750,16015,125,0,5197,2976,28933,3200,8369,5,15038,5701,927,6342,1709,100,553,6764,8280,230,0,11327,31356,4137,425,12884,735,5313,1,4502,28765,923,15568,16247,2600,13198,24232,16225,6885,30189,2732,10807,1110,26174,500,1
1956,902,0,75,6025,14941,243,1,5406,3848,28522,3899,9181,12,15825,6209,1299,6719,2698,203,882,7896,8019,394,0,12934,36029,4617,579,14970,1063,6445,5,5578,25098,699,17746,19563,3859,14586,25683,15379,8345,33184,3282,13366,1377,29946,1478,3
2857,1164,0,138,5139,13556,449,4,5477,4842,27326,4643,9706,28,16317,6600,1781,6849,4078,392,1357,9001,7604,649,0,14470,39160,5029,772,15737,1502,7643,18,5991,19995,473,19753,22892,5434,15666,26594,14065,9859,35504,3813,16123,1671,32968,3696,10
4049,1472,0,243,4188,11963,793,12,5406,5930,25442,5400,9887,61,16484,6846,2389,6719,5902,724,2018,10019,7058,1032,3,15862,40263,5345,1007,14970,2071,8859,52,5578,14546,287,21470,26033,7258,16352,26905,12413,11352,36973,4285,18968,1982,34926,7826,26
5566,1824,0,409,3262,10268,1339,28,5197,7069,23021,6137,9706,125,16317,6930,3135,6342,8178,1279,2899,10890,6414,1580,13,17036,39160,5544,1286,12884,2790,10039,136,4502,9662,156,22787,28771,9198,16587,26594,10570,12741,37476,4657,21764,2297,35605,14025,65
7422,2214,0,661,2427,8572,2158,61,4866,8202,20243,6814,9181,242,15825,6846,4025,5760,10849,2158,4023,11558,5705,2331,42,17928,36029,5612,1608,10034,3668,11120,319,3150,5860,75,23615,30901,11059,16352,25683,8685,13937,36973,4896,24356,2603,34926,21274,149
9603,2633,4,1025,1726,6960,3323,125,4438,9263,17299,7392,8369,444,15038,6600,5057,5035,13780,3478,5393,11978,4968,3314,120,18485,31356,5544,1969,7071,4710,12041,675,1910,3245,32,23898,32254,12614,15666,24232,6885,14860,35504,4978,26583,2884,32968,27317,315
12054,3069,24,1522,1173,5496,4891,242,3942,10182,14367,7835,7352,771,14001,6209,6217,4235,16758,5356,6985,12121,4236,4540,310,18675,25815,5345,2359,4508,5906,12745,1293,1004,1641,12,23615,32718,13650,14586,22338,5267,15442,33184,4896,28297,3122,29946,29691,622
14678,3504,99,2170,761,4221,6877,438,3411,10894,11596,8113,6223,1272,12772,5701,7479,3427,19512,7882,8740,11978,3535,5994,715,18485,20105,5029,2767,2601,7231,13187,2242,457,757,4,22787,32254,14014,13198,20118,3888,15642,30189,4657,29379,3305,26174,27317,1141
17340,3921,348,2966,472,3153,9242,746,2874,11344,9096,8208,5076,1990,11416,5109,8804,2669,21752,11085,10565,11558,2888,7626,1472,17928,14811,4617,3178,1358,8645,13337,3517,180,319,1,21470,30901,13650,11606,17703,2769,15442,26732,4285,29748,3420,22014,21274,1951
19874,4298,1028,3888,280,2291,11867,1192,2359,11499,6933,8113,3990,2953,9998,4467,10140,2000,23218,14895,12338,10890,2310,9349,2713,17036,10322,4137,3572,641,10092,13187,4991,61,123,0,19753,28771,12614,9918,15219,1903,14860,23039,3813,29379,3459,17817,14025,3104
22097,4616,2571,4890,158,1619,14560,1790,1886,11344,5136,7835,3022,4158,8579,3812,11428,1442,23729,19126,13921,10019,1808,11045,4474,15862,6805,3618,3931,274,11504,12745,6408,18,43,0,17746,26033,11059,8237,12783,1262,13937,19327,3282,28297,3420,13876,7826,4597
23837,4858,5443,5898,85,1112,17071,2524,1469,10894,3698,7392,2206,5554,7213,3175,12603,1001,23218,23467,15175,9001,1386,12574,6600,14470,4243,3087,4235,106,12805,12041,7446,4,13,0,15568,22892,9198,6648,10490,807,12741,15781,2732,26583,3305,10399,3696,6341
24945,5009,9755,6825,44,743,19125,3344,1114,10182,2587,6814,1551,7039,5941,2580,13599,668,21752,27514,15980,7896,1040,13793,8714,12934,2503,2571,4466,37,13918,11120,7827,1,4,0,13336,19563,7258,5214,8411,498,11352,12542,2200,24356,3122,7499,1478,8142
25326,5060,14797,7574,21,483,20475,4162,823,9263,1759,6137,1051,8462,4795,2047,14359,429,19512,30825,16258,6764,764,14581,10294,11327,1396,2090,4611,11,14772,10039,7446,0,1,0,11155,16247,5434,3975,6588,297,9859,9702,1713,21764,2884,5203,500,9733
24945,5009,19000,8062,10,305,20946,4866,592,8202,1162,5400,687,9652,3792,1584,14835,265,16758,33000,15980,5658,549,14854,10882,9719,737,1657,4661,3,15309,8859,6408,0,0,0,9111,13113,3859,2944,5042,170,8345,7305,1290,18968,2603,3474,143,10834
23837,4858,20651,8232,4,188,20475,5345,415,7069,746,4643,432,10445,2938,1196,14997,158,13780,33759,15175,4621,386,14581,10294,8171,368,1283,4611,0,15492,7643,4991,0,0,0,7267,10286,2600,2120,3770,94,6885,5353,940,16123,2297,2232,34,11228
22097,4616,19000,8062,2,112,19125,5514,283,5930,465,3899,262,10724,2230,882,14835,90,10849,33000,13921,3685,266,13793,8714,6731,173,969,4466,0,15309,6445,3517,0,0,0,5659,7841,1662,1483,2754,50,5537,3818,662,13366,1982,1380,7,10834
